Year,Inflation Rate
1968,4.05
1969,6.15
1970,7.06
1971,4.35
1972,3.91
1973,4.29
1974,11.29
1975,10.55
1976,6.17
1977,6.81
1978,8.77
1979,12.17
1980,15.70
1981,11.48
1982,7.22
1983,2.68
1984,4.15
1985,3.97
1986,2.96
1987,2.98
1988,3.74
1989,3.81
1990,4.49
1991,3.95
1992,2.92
1993,2.70
1994,2.52
1995,2.54
1996,2.92
1997,2.61
1998,2.29
1999,2.20
2000,3.46
2001,4.02
2002,2.22
2003,2.50
2004,2.57
2005,3.27
2006,3.80
2007,3.16
2008,3.19
2009,0.37
2010,-0.37
2011,1.32
2012,1.65
2013,2.08
2014,2.58
2015,2.08
2016,2.48
2017,2.97
2018,2.89
2019,2.89
2020,2.19
2021,3.29
2022,6.83